title,runtime,imdb_score,votes,genre
Day of the Diesels,100,0.0,0,Family
Chhota Bheem and the Curse of Damyaan,145,0.0,0,Family
Inanimate Insanity II: The Movie,106,8.3,0,Family
Heavens: The Boy and His Robot,98,0.0,0,Family
Ne odna doma,79,0.0,0,Family
Unsung Hero,113,7.0,4900,Family
Our Church Thinks We're Dating,102,7.5,0,Family
Super papa,90,0.0,0,Family
"Merry Birthday, Happy Christmas",84,0.0,0,Family
Guru Chela,157,0.0,0,Family
Smotri na menya!,120,0.0,0,Family
Piraty galaktiki Barrakuda,92,0.0,0,Family
Dikkie Dik en de Verdwenen Knuffel,62,0.0,0,Family
Heidi,100,0.0,0,Family
Orion and the Dark,93,6.3,17000,Family
Maerey Gaon Ki Baat,165,0.0,0,Family
Animal Tales of Christmas Magic,72,0.0,0,Family
Vasilisa i khraniteli vremeni,98,0.0,0,Family
Mastaani,150,0.0,0,Family
De Grote Sinterklaasfilm - Stampij in de bakkerij,75,0.0,0,Family
Oyunda Kal: Eglence Arenasi,92,0.0,0,Family
My Dear Donga,132,0.0,0,Family
Manyunya. Priklyucheniya v derevne,84,0.0,0,Family
Our Christmas House,77,0.0,0,Family
A Sloth Story,90,5.6,0,Family
The Truth: The Journey Within,91,0.0,0,Family
De Club van Sinterklaas Film: Het Grote Sneeuwavontuur,79,0.0,0,Family
Bob a Bobek ve filmu: Na stope Mrkvojeda,80,0.0,0,Family
Little Town,90,0.0,0,Family
DeAr,132,0.0,0,Family
The Cheshire Cat,64,0.0,0,Family
SDL A Batalha Musical,102,0.0,0,Family
Moy dikiy drug,100,0.0,0,Family
Awesomest Christmas Ever,78,0.0,0,Family
Megamind vs. The Doom Syndicate,83,2.5,5500,Family
Nanak Naam Jahaz Hai,140,0.0,0,Family
Home Plate,85,0.0,0,Family
Uma & Haggen: Mitos,94,0.0,0,Family
Tri bogatyrya. Ni dnya bez podviga,61,0.0,0,Family
Double Engine,106,0.0,0,Family
Thookudurai,125,0.0,0,Family
Gowri,130,0.0,0,Family
A Hero's Journey: The Making of Percy Jackson and the Olympians,50,7.5,0,Family
Lost on a Mountain in Maine,98,6.1,1100,Family
Il circo delle meraviglie,90,0.0,0,Family
Woof Woof Daddy,105,0.0,0,Family
De Legende van Familie Vos,81,0.0,0,Family
Pui Pui Molcar the Movie: Molmax,69,0.0,0,Family
Mansarra,138,0.0,0,Family
Manyunya. Priklyucheniya v Moskve,87,0.0,0,Family
The Day the Earth Blew Up: A Looney Tunes Movie,91,7.0,2700,Family
Saving Bikini Bottom: The Sandy Cheeks Movie,82,3.7,3800,Family
Hope's Hollywood Christmas,90,0.0,0,Family
A Game of Two Halves,100,0.0,0,Family
Moy lyubimyy chempion,95,0.0,0,Family
Gabru Gang,123,0.0,0,Family
Margie en de magische drank,59,0.0,0,Family
Fanzo Movie,104,0.0,0,Family
Titip Surat Untuk Tuhan,81,0.0,0,Family
Peas and Carrots,96,0.0,0,Family
Big World,131,0.0,0,Family
A Holiday for Harmony,120,0.0,0,Family
Semeynyy perepolokh,87,0.0,0,Family
Padmavyuham Lo Chakradhari,110,0.0,0,Family
Chitti - Potti,150,0.0,0,Family
Return,90,0.0,0,Family
Petualangan Anak Penangkap Hantu,99,0.0,0,Family
Haydi Tut Elimi,113,0.0,0,Family
Thelma the Unicorn,93,5.7,2900,Family
Vozvrashchenie popugaya Keshi,93,0.0,0,Family
"7 dney, 7 nochey",98,0.0,0,Family
"Ponta Grossa, Não Sei Se Te Amo",89,0.0,0,Family
Oti Uttam,137,0.0,0,Family
Romeo and Benvolio,80,0.0,0,Family
"Heinähattu, Vilttitossu ja kana",77,0.0,0,Family
Novyy god v Beryozovke,94,0.0,0,Family
Boom!,90,0.0,0,Family
Buffalo Kids,93,0.0,0,Family
Tayna Chyornoy Ruki,84,0.0,0,Family
Al Eid Eiden,110,0.0,0,Family
YA - medved,97,0.0,0,Family
Kaagada,149,0.0,0,Family
Tarpana,138,0.0,0,Family
